Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (b),Delta - CR (%),Other columns - Size (b),Other columns - CR (%)
,,,,,,25,478.438,38.36,256.710,4.24,3.570.666,91.08
,,,,,,50,463.175,37.13,128.831,2.13,3.576.441,91.23
,,,,,,100,458.112,36.73,65.529,1.08,3.599.244,91.81
,,,,,,200,458.813,36.78,35.153,0.58,3.635.225,92.73
,,,,15,"[0, 37]",5,603.297,48.37,1.283.003,21.18,3.543.251,90.38
,,,,,,10,526.980,42.25,641.519,10.59,3.574.196,91.17
,,,,,,25,476.656,38.21,256.710,4.24,3.556.410,90.72
,,,,,,50,461.221,36.98,128.831,2.13,3.560.810,90.83
,,,,,,100,456.343,36.58,65.529,1.08,3.585.087,91.45
,,,,,,200,456.350,36.59,35.153,0.58,3.615.524,92.23
,,,,20,"[0, 49]",5,588.816,47.21,1.283.003,21.18,3.427.399,87.43
,,,,,,10,524.060,42.01,641.519,10.59,3.550.832,90.58
,,,,,,25,474.907,38.07,256.710,4.24,3.542.418,90.36
,,,,,,50,459.132,36.81,128.831,2.13,3.544.101,90.41
,,,,,,100,453.484,36.36,65.529,1.08,3.562.218,90.87
,,,,,,200,453.067,36.32,35.153,0.58,3.589.256,91.56
,,,,30,"[0, 74]",5,546.257,43.79,1.283.003,21.18,3.086.927,78.74
,,,,,,10,512.873,41.12,641.519,10.59,3.461.336,88.29
,,,,,,25,472.465,37.88,256.710,4.24,3.522.882,89.86
,,,,,,50,456.976,36.64,128.831,2.13,3.526.853,89.97
,,,,,,100,451.034,36.16,65.529,1.08,3.542.616,90.37
,,,,,,200,451.151,36.17,35.153,0.58,3.573.933,91.17
,,,CoderAPCA,0,"[0, 0]",5,790.624,63.38,1.425.540,23.53,4.899.328,124.98
,,,,,,10,749.691,60.1,748.419,12.35,5.248.980,133.9
,,,,,,25,739.080,59.25,313.632,5.18,5.598.880,142.82
,,,,,,50,764.110,61.26,163.944,2.71,5.948.810,151.75
,,,,,,100,798.050,63.98,85.536,1.41,6.298.740,160.67
,,,,,,200,836.668,67.08,44.550,0.74,6.648.670,169.6
,,,,3,"[0, 7]",5,696.198,55.81,1.425.540,23.53,4.143.916,105.71
,,,,,,10,642.414,51.5,748.419,12.35,4.390.770,112.0
,,,,,,25,621.270,49.81,313.632,5.18,4.656.400,118.78
,,,,,,50,638.106,51.16,163.944,2.71,4.940.778,126.03
,,,,,,100,664.321,53.26,85.536,1.41,5.228.910,133.38
,,,,,,200,695.403,55.75,44.550,0.74,5.518.550,140.77
,,,,5,"[0, 12]",5,661.159,53.0,1.425.540,23.53,3.863.608,98.56
,,,,,,10,604.089,48.43,748.419,12.35,4.084.170,104.18
,,,,,,25,579.640,46.47,313.632,5.18,4.323.360,110.28
,,,,,,50,593.413,47.57,163.944,2.71,4.583.234,116.91
,,,,,,100,616.716,49.44,85.536,1.41,4.848.066,123.67
,,,,,,200,644.999,51.71,44.550,0.74,5.115.313,130.49
,,,,10,"[0, 25]",5,589.591,47.27,1.425.540,23.53,3.291.064,83.95
,,,,,,10,526.009,42.17,748.419,12.35,3.459.525,88.25
,,,,,,25,495.846,39.75,313.632,5.18,3.653.008,93.18
,,,,,,50,504.142,40.42,163.944,2.71,3.869.064,98.7
,,,,,,100,522.002,41.85,85.536,1.41,4.090.356,104.34
,,,,,,200,544.876,43.68,44.550,0.74,4.314.330,110.05
,,,,15,"[0, 37]",5,539.959,43.29,1.425.540,23.53,2.894.010,73.82
,,,,,,10,470.411,37.71,748.419,12.35,3.014.745,76.9
,,,,,,25,436.316,34.98,313.632,5.18,3.176.768,81.04
,,,,,,50,440.832,35.34,163.944,2.71,3.362.583,85.78
,,,,,,100,454.936,36.47,85.536,1.41,3.553.830,90.65
,,,,,,200,474.072,38.01,44.550,0.74,3.747.902,95.6
,,,,20,"[0, 49]",5,501.442,40.2,1.425.540,23.53,2.585.870,65.96
,,,,,,10,425.407,34.1,748.419,12.35,2.654.715,67.72
,,,,,,25,387.880,31.1,313.632,5.18,2.789.280,71.15
,,,,,,50,389.324,31.21,163.944,2.71,2.950.520,75.26
,,,,,,100,400.372,32.1,85.536,1.41,3.117.312,79.52
,,,,,,200,416.462,33.39,44.550,0.74,3.287.019,83.85
,,,,30,"[0, 74]",5,445.211,35.69,1.425.540,23.53,2.136.022,54.49
,,,,,,10,355.609,28.51,748.419,12.35,2.096.325,53.47
,,,,,,25,311.544,24.98,313.632,5.18,2.178.592,55.57
,,,,,,50,308.121,24.7,163.944,2.71,2.300.899,58.69
,,,,,,100,314.350,25.2,85.536,1.41,2.429.136,61.96
,,,,,,200,325.637,26.11,44.550,0.74,2.560.421,65.31
,,,CoderCA,0,"[0, 0]",5,917.409,73.55,2.375.880,39.22,4.963.266,126.61
,,,,,,10,834.819,66.93,1.360.758,22.46,5.317.665,135.65
,,,,,,25,784.426,62.89,603.108,9.95,5.672.176,144.69
,,,,,,50,793.533,63.62,321.448,5.31,6.026.687,153.73
,,,,,,100,818.839,65.65,169.392,2.8,6.381.198,162.78
,,,,,,200,853.067,68.39,88.700,1.46,6.735.709,171.82
,,,,3,"[0, 7]",5,867.733,69.57,2.375.880,39.22,4.565.862,116.47
,,,,,,10,774.387,62.08,1.360.758,22.46,4.834.215,123.32
,,,,,,25,716.754,57.46,603.108,9.95,5.130.800,130.88
,,,,,,50,721.100,57.81,321.448,5.31,5.447.225,138.95
,,,,,,100,741.961,59.48,169.392,2.8,5.766.174,147.09
