DATASET:,NOAA-SST
TIME UNIT:,seconds
FIRST TIMESTAMP:,2017-05-01 00:00:00
Time Delta,T0N110W,T0N125W,T0N140W,T0N155W,T0N165E,T0N170W,T0N180W,T0N95W,T2N110W,T2N125W,T2N140W,T2N155W,T2N165E,T2N170W,T2N180W,T2N95W,T2S110W,T2S125W,T2S140W,T2S155W,T2S165E,T2S170W,T2S180W,T2S95W,T5N110W,T5N125W,T5N140W,T5N155W,T5N165E,T5N170W,T5N180W,T5N95W,T5S110W,T5S125W,T5S140W,T5S155W,T5S165E,T5S170W,T5S180W,T5S95W,T8N110W,T8N125W,T8N155W,T8N165E,T8N170W,T8N180W,T8N95W,T8S110W,T8S125W,T8S155W,T8S165E,T8S170W,T8S180W,T8S95W,T9N140W
600,25750,26797,N,27623,28751,28097,N,N,N,27039,27859,27822,N,N,N,N,26955,28907,28113,N,29663,N,N,N,N,28535,28213,N,29196,28581,28652,N,N,28759,29073,N,N,30273,29633,N,N,28325,N,N,N,28150,N,N,28572,29871,29820,30451,N,N,27787
600,25731,26804,N,27633,28742,28122,N,N,N,27031,27865,27815,N,N,N,N,26932,28908,28130,N,29645,N,N,N,N,28534,28229,N,29186,28586,28654,N,N,28758,29073,N,N,30230,29649,N,N,28319,N,N,N,28158,N,N,28589,29863,29810,30435,N,N,27786
600,25727,26791,26578,27627,28736,28112,N,N,N,27029,27858,27819,N,N,N,N,26938,28911,28127,N,29652,N,N,N,N,28526,28226,N,29179,28578,28656,N,N,28753,29066,N,N,30184,29667,N,N,28311,N,N,N,28154,N,N,28578,29850,29821,30410,N,N,27783
600,25723,26839,26580,27615,28736,28124,N,N,N,27022,27861,27808,N,N,N,N,26910,28908,28117,N,29683,N,N,N,N,28554,28235,N,29181,28577,28656,N,N,28747,29063,N,N,30148,29660,N,N,28310,N,N,N,28145,N,N,28578,29853,29796,30403,N,N,27785
600,25712,26850,26579,27630,28743,28086,N,N,N,27032,27855,27814,N,N,N,N,26899,28896,28124,N,29690,N,N,N,N,28568,28229,N,29167,28575,28656,N,N,28746,29061,N,N,29934,29670,N,N,28315,N,N,N,28146,N,N,28574,29847,29806,30433,N,N,27782
600,N,26826,26580,27625,28734,28032,N,N,N,27026,27854,27807,N,N,N,N,26884,28900,28121,N,29704,N,N,N,N,28579,28224,N,29161,28573,28649,N,N,28738,29057,N,N,29900,29674,N,N,28311,N,N,N,28136,N,N,28578,29849,29811,30402,N,N,27781
600,25692,26654,N,27631,28720,28018,N,N,N,27027,27854,27817,N,N,N,N,26881,28891,28109,N,29701,N,N,N,N,28579,28209,N,N,28569,28654,N,N,28728,29056,N,N,29959,29665,N,N,28312,N,N,N,28136,N,N,28577,29852,29811,30359,N,N,27784
600,25705,26746,26578,27639,28730,27908,N,N,N,27013,27853,27817,N,N,N,N,26871,28898,28119,N,29713,N,N,N,N,28571,28226,N,29162,28573,28648,N,N,28722,29058,N,N,3,29668,N,N,28313,N,N,N,28132,N,N,28569,29843,29794,30342,N,N,27783
600,25682,26753,26566,27636,28728,28013,N,N,N,27015,27847,27810,N,N,N,N,26865,28887,28114,N,29688,N,N,N,N,28578,28231,N,29151,28565,28656,N,N,28724,29048,N,N,30011,29672,N,N,28316,N,N,N,28138,N,N,28558,29852,29825,30331,N,N,27783
600,25693,26700,26577,27631,28716,28176,N,N,N,27030,27844,27809,N,N,N,N,26872,28893,28113,N,29677,N,N,N,N,28572,28221,N,29162,28564,28653,N,N,28722,29061,N,N,3,29667,N,N,28313,N,N,N,28127,N,N,28567,29856,29800,30348,N,N,27771
