Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (data),Delta - Size (mask),Delta - Size (total),Delta - CR (%),Other columns - Size (data),Other columns - Size (mask),Other columns - Size (total),Other columns - CR (%)
,,,,,,25,189.313,49.2,447185,0,447185,100.0,1066513,0,1066513,40.54
,,,,,,50,170.321,44.26,447185,0,447185,100.0,914580,0,914580,34.77
,,,,,,100,161.430,41.95,447185,0,447185,100.0,843453,0,843453,32.06
,,,,,,200,157.562,40.95,447185,0,447185,100.0,812504,0,812504,30.89
,,,,3,"[0, 0, 1, 1, 'N', 'N', 2, 1, 'N', 'N', 'N']",5,328.132,85.27,447185,0,447185,100.0,2177063,0,2177063,82.76
,,,,,,10,206.588,53.69,447185,0,447185,100.0,1204716,0,1204716,45.8
,,,,,,25,133.728,34.75,447185,0,447185,100.0,621836,0,621836,23.64
,,,,,,50,111.199,28.9,447185,0,447185,100.0,441598,0,441598,16.79
,,,,,,100,100.422,26.1,447185,0,447185,100.0,355387,0,355387,13.51
,,,,,,200,95.449,24.8,447185,0,447185,100.0,315600,0,315600,12.0
,,,,5,"[0, 1, 1, 2, 'N', 'N', 3, 1, 'N', 'N', 'N']",5,323.000,83.94,447185,0,447185,100.0,2136012,0,2136012,81.2
,,,,,,10,198.872,51.68,447185,0,447185,100.0,1142984,0,1142984,43.45
,,,,,,25,123.672,32.14,447185,0,447185,100.0,541389,0,541389,20.58
,,,,,,50,100.139,26.02,447185,0,447185,100.0,353120,0,353120,13.42
,,,,,,100,88.849,23.09,447185,0,447185,100.0,262800,0,262800,9.99
,,,,,,200,83.622,21.73,447185,0,447185,100.0,220984,0,220984,8.4
,,,,10,"[0, 1, 3, 4, 'N', 'N', 6, 2, 'N', 'N', 'N']",5,322.034,83.69,447185,0,447185,100.0,2128278,0,2128278,80.91
,,,,,,10,196.887,51.16,447185,0,447185,100.0,1127104,0,1127104,42.85
,,,,,,25,120.596,31.34,447185,0,447185,100.0,516778,0,516778,19.65
,,,,,,50,96.291,25.02,447185,0,447185,100.0,322340,0,322340,12.25
,,,,,,100,84.485,21.95,447185,0,447185,100.0,227886,0,227886,8.66
,,,,,,200,78.809,20.48,447185,0,447185,100.0,182480,0,182480,6.94
,,,,15,"[0, 2, 4, 6, 'N', 'N', 9, 3, 'N', 'N', 'N']",5,321.394,83.52,447185,0,447185,100.0,2123160,0,2123160,80.71
,,,,,,10,195.933,50.92,447185,0,447185,100.0,1119472,0,1119472,42.56
,,,,,,25,118.899,30.9,447185,0,447185,100.0,503202,0,503202,19.13
,,,,,,50,94.228,24.49,447185,0,447185,100.0,305834,0,305834,11.63
,,,,,,100,82.054,21.32,447185,0,447185,100.0,208443,0,208443,7.92
,,,,,,200,76.272,19.82,447185,0,447185,100.0,162184,0,162184,6.17
,,,,20,"[0, 2, 5, 7, 'N', 'N', 12, 4, 'N', 'N', 'N']",5,321.168,83.46,447185,0,447185,100.0,2121351,0,2121351,80.64
,,,,,,10,195.568,50.82,447185,0,447185,100.0,1116552,0,1116552,42.45
,,,,,,25,118.472,30.79,447185,0,447185,100.0,499784,0,499784,19.0
,,,,,,50,93.672,24.34,447185,0,447185,100.0,301386,0,301386,11.46
,,,,,,100,81.366,21.14,447185,0,447185,100.0,202937,0,202937,7.71
,,,,,,200,75.430,19.6,447185,0,447185,100.0,155448,0,155448,5.91
,,,,30,"[0, 3, 8, 11, 'N', 'N', 18, 6, 'N', 'N', 'N']",5,320.564,83.3,447185,0,447185,100.0,2116524,0,2116524,80.46
,,,,,,10,194.551,50.56,447185,0,447185,100.0,1108420,0,1108420,42.14
,,,,,,25,117.213,30.46,447185,0,447185,100.0,489710,0,489710,18.62
,,,,,,50,92.242,23.97,447185,0,447185,100.0,289944,0,289944,11.02
,,,,,,100,79.756,20.73,447185,0,447185,100.0,190054,0,190054,7.23
,,,,,,200,73.626,19.13,447185,0,447185,100.0,141016,0,141016,5.36
,vwc_222.smet.csv,26.304,CoderBasic,,,,384.797,100,447168,0,447168,100,2630400,0,2630400,100
,,,CoderPWLH,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,617.908,160.58,447168,0,447168,100.0,4495294,0,4495294,170.9
,,,,,,10,498.630,129.58,447168,0,447168,100.0,3541068,0,3541068,134.62
,,,,,,25,443.219,115.18,447168,0,447168,100.0,3097782,0,3097782,117.77
,,,,,,50,436.745,113.5,447168,0,447168,100.0,3045986,0,3045986,115.8
,,,,,,100,437.617,113.73,447168,0,447168,100.0,3052963,0,3052963,116.06
,,,,,,200,441.176,114.65,447168,0,447168,100.0,3081432,0,3081432,117.15
,,,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,617.908,160.58,447168,0,447168,100.0,4495294,0,4495294,170.9
,,,,,,10,498.630,129.58,447168,0,447168,100.0,3541068,0,3541068,134.62
,,,,,,25,443.219,115.18,447168,0,447168,100.0,3097782,0,3097782,117.77
,,,,,,50,436.745,113.5,447168,0,447168,100.0,3045986,0,3045986,115.8
,,,,,,100,437.617,113.73,447168,0,447168,100.0,3052963,0,3052963,116.06
,,,,,,200,441.176,114.65,447168,0,447168,100.0,3081432,0,3081432,117.15
,,,,3,"[0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0]",5,521.604,135.55,447168,0,447168,100.0,3724855,0,3724855,141.61
,,,,,,10,361.864,94.04,447168,0,447168,100.0,2446940,0,2446940,93.03
,,,,,,25,276.837,71.94,447168,0,447168,100.0,1766725,0,1766725,67.17
