DATASET:,NOAA-SPC-tornado
TIME UNIT:,minutes
FIRST TIMESTAMP:,2015-01-03 20:05:00
Time Delta,Latitude,Longitude
1371,3214,-10842
5480,2759,-8263
9120,3369,-11715
4215,3565,-10977
4489,4301,-9604
12,4308,-9589
17,4307,-9585
21,4289,-9554
875,2956,-9528
377,2901,-9562
1134,2996,-9035
385,2934,-9084
6490,2933,-9929
98,2637,-9767
24,2913,-9816
40,2982,-9798
29,2962,-9798
17,2976,-9798
264,3053,-9684
925,2917,-9543
10,2923,-9535
2,2897,-9544
29,2948,-9526
6,2904,-9545
13,2917,-9543
2,2929,-9528
8,2923,-9535
3,2951,-9520
49,2960,-9513
1,2955,-9523
0,2953,-9522
1,2948,-9526
4,2953,-9522
4,2985,-9496
11,2963,-9511
5,2960,-9513
5,2963,-9511
13,2983,-9508
38,3089,-9312
22,2983,-9506
140,3109,-9276
60,3110,-9276
63,3057,-9066
0,3067,-8966
57,3050,-9064
108,3059,-9038
56,3058,-9042
8,3058,-9033
8,3067,-8966
4,3117,-8997
18,3072,-8948
1,3126,-8971
37,3067,-8966
0,3071,-8947
1,3128,-8936
21,3072,-8948
1320,3100,-8423
58,3122,-8398
1157,3059,-8551
49,3160,-8458
197,3185,-8308
26,3193,-8268
4251,3540,-9638
5,3543,-9632
410,3382,-9465
8202,4099,-9475
17,4089,-9441
21,4071,-9434
4,4083,-9397
13,4065,-9331
0,4125,-9399
5,4133,-9413
6,4167,-9409
21,4090,-9303
2,4090,-9302
1,4153,-9366
49,4133,-9239
5,4146,-9248
16,4046,-9209
116,4160,-9036
1,4154,-9025
2,4151,-9015
5586,3756,-12082
9,3754,-12082
1440,3746,-10136
85,3804,-10063
1,3908,-10058
11,3910,-10053
7,3911,-10047
5,3914,-10044
2,3575,-10108
0,3522,-10171
0,3501,-10130
2,3714,-10080
8,3929,-10037
12,3727,-10066
3,3521,-10113
17,3539,-10096
2,3743,-10048
1,3720,-10067
8,3551,-10091
5,3914,-10044
1,3864,-9997
1,3760,-10036
0,3551,-10091
13,3543,-10096
4,3564,-10075
3,3770,-10021
0,3644,-10074
0,3639,-10062
1,3934,-10027
2,3553,-10094
1,3542,-10100
2,3777,-10020
2,3649,-10058
4,3654,-10052
7,3651,-10054
7,4003,-9968
8,3797,-10009
5,3575,-10125
7,4008,-9966
37,3611,-10082
23,3622,-10072
15,3634,-10054
30,3661,-10023
10,3660,-9966
34,3706,-9923
5,3709,-9920
12,3706,-9923
376,3060,-9612
50,3544,-9542
950,3231,-9058
127,3238,-8974
5,3244,-8969
11,3254,-8959
9,3261,-8953
2,3270,-8952
7,3274,-8948
7,3284,-8943
9,3293,-8932
0,3293,-8933
3,3295,-8931
7,3308,-8920
1,3304,-8928
4,3311,-8923
188,3361,-8843
462,3063,-8635
30,3082,-8623
223,3351,-8472
11,3356,-8463
48,3384,-8420
31468,4577,-12254
