Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (data),Delta - Size (mask),Delta - Size (total),Delta - CR (%),Other columns - Size (data),Other columns - Size (mask),Other columns - Size (total),Other columns - CR (%)
,,,,,,128,198.037,51.46,447190,0,447190,100.0,1132353,3928,1136281,43.2
,,,,,,256,206.349,53.62,447190,0,447190,100.0,1198854,3928,1202782,45.72
,,,,0.03,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",4,176.287,45.81,447190,0,447190,100.0,958356,3928,962284,36.58
,,,,,,8,161.815,42.05,447190,0,447190,100.0,842582,3928,846510,32.18
,,,,,,16,157.249,40.86,447190,0,447190,100.0,806050,3928,809978,30.79
,,,,,,32,159.488,41.45,447190,0,447190,100.0,823965,3928,827893,31.47
,,,,,,64,164.738,42.81,447190,0,447190,100.0,865968,3928,869896,33.07
,,,,,,128,170.985,44.43,447190,0,447190,100.0,915943,3928,919871,34.97
,,,,,,256,177.572,46.15,447190,0,447190,100.0,968634,3928,972562,36.97
,,,,0.05,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",4,153.377,39.86,447190,0,447190,100.0,775080,3928,779008,29.61
,,,,,,8,128.937,33.51,447190,0,447190,100.0,579553,3928,583481,22.18
,,,,,,16,116.239,30.21,447190,0,447190,100.0,477974,3928,481902,18.32
,,,,,,32,112.045,29.12,447190,0,447190,100.0,444420,3928,448348,17.04
,,,,,,64,112.238,29.17,447190,0,447190,100.0,445968,3928,449896,17.1
,,,,,,128,114.350,29.72,447190,0,447190,100.0,462859,3928,466787,17.75
,,,,,,256,117.285,30.48,447190,0,447190,100.0,486342,3928,490270,18.64
,,,,0.1,"[0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]",4,141.547,36.78,447190,0,447190,100.0,680436,3928,684364,26.02
,,,,,,8,111.270,28.92,447190,0,447190,100.0,438217,3928,442145,16.81
,,,,,,16,93.442,24.28,447190,0,447190,100.0,295596,3928,299524,11.39
,,,,,,32,84.704,22.01,447190,0,447190,100.0,225690,3928,229618,8.73
,,,,,,64,81.308,21.13,447190,0,447190,100.0,198528,3928,202456,7.7
,,,,,,128,80.628,20.95,447190,0,447190,100.0,193086,3928,197014,7.49
,,,,,,256,81.229,21.11,447190,0,447190,100.0,197892,3928,201820,7.67
,,,,0.15,"[0, 2, 3, 2, 2, 1, 2, 2, 1, 4, 2]",4,140.330,36.47,447190,0,447190,100.0,670704,3928,674632,25.65
,,,,,,8,108.749,28.26,447190,0,447190,100.0,418054,3928,421982,16.04
,,,,,,16,89.242,23.19,447190,0,447190,100.0,261996,3928,265924,10.11
,,,,,,32,78.856,20.49,447190,0,447190,100.0,178905,3928,182833,6.95
