Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (b),Delta - CR (%),Other columns - Size (b),Other columns - CR (%)
,vwc_1205.dat.csv,26.305,CoderCA,0,"[0, 0, 0, 0, 'N', 'N', 0, 0, 'N', 'N', 'N']",5,136.864,100,175.400,100,918.710,100
,vwc_1205.dat.csv,26.305,,,,10,93.652,68.43,100.506,57.3,647.906,70.52
,vwc_1205.dat.csv,26.305,,,,25,66.006,48.23,44.572,25.41,482.670,52.54
,vwc_1205.dat.csv,26.305,,,,50,58.429,42.69,23.782,13.56,442.848,48.2
,vwc_1205.dat.csv,26.305,,,,100,55.777,40.75,12.576,7.17,432.837,47.11
,vwc_1205.dat.csv,26.305,,,,200,55.740,40.73,6.600,3.76,438.516,47.73
,vwc_1205.dat.csv,26.305,,3,"[0, 0, 1, 1, 'N', 'N', 2, 1, 'N', 'N', 'N']",5,121.677,88.9,175.400,100.0,797.212,86.78
,vwc_1205.dat.csv,26.305,,,,10,73.413,53.64,100.506,57.3,485.996,52.9
,vwc_1205.dat.csv,26.305,,,,25,41.910,30.62,44.572,25.41,289.905,31.56
,vwc_1205.dat.csv,26.305,,,,50,32.307,23.61,23.782,13.56,233.872,25.46
,vwc_1205.dat.csv,26.305,,,,100,27.874,20.37,12.576,7.17,209.610,22.82
,vwc_1205.dat.csv,26.305,,,,200,26.137,19.1,6.600,3.76,201.690,21.95
,vwc_1205.dat.csv,26.305,,5,"[0, 1, 1, 2, 'N', 'N', 3, 1, 'N', 'N', 'N']",5,119.196,87.09,175.400,100.0,777.361,84.61
,vwc_1205.dat.csv,26.305,,,,10,69.712,50.94,100.506,57.3,456.386,49.68
,vwc_1205.dat.csv,26.305,,,,25,36.675,26.8,44.572,25.41,248.025,27.0
,vwc_1205.dat.csv,26.305,,,,50,26.323,19.23,23.782,13.56,186.000,20.25
,vwc_1205.dat.csv,26.305,,,,100,21.384,15.62,12.576,7.17,157.692,17.16
,vwc_1205.dat.csv,26.305,,,,200,19.225,14.05,6.600,3.76,146.394,15.93
,vwc_1205.dat.csv,26.305,,10,"[0, 1, 3, 4, 'N', 'N', 6, 2, 'N', 'N', 'N']",5,118.362,86.48,175.400,100.0,770.692,83.89
