Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (b),Delta - CR (%),Other columns - Size (b),Other columns - CR (%)
,,,CoderPWLH,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,218.715,56.84,194.694,43.54,1.554.224,59.09
,,,,,,10,169.737,44.11,100.016,22.37,1.257.072,47.79
,,,,,,25,145.990,37.94,41.106,9.19,1.126.010,42.81
,,,,,,50,144.434,37.54,21.120,4.72,1.133.548,43.09
,,,,,,100,146.744,38.14,10.865,2.43,1.162.283,44.19
,,,,,,200,150.688,39.16,5.586,1.25,1.199.112,45.59
,,,,3,"[0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0]",5,185.655,48.25,194.694,43.54,1.289.741,49.03
,,,,,,10,121.466,31.57,100.016,22.37,870.904,33.11
,,,,,,25,85.706,22.27,41.106,9.19,643.735,24.47
,,,,,,50,78.053,20.28,21.120,4.72,602.496,22.91
,,,,,,100,76.355,19.84,10.865,2.43,599.167,22.78
,,,,,,200,77.152,20.05,5.586,1.25,610.826,23.22
,,,,5,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",5,164.652,42.79,194.694,43.54,1.121.713,42.64
,,,,,,10,90.780,23.59,100.016,22.37,625.418,23.78
,,,,,,25,46.791,12.16,41.106,9.19,332.420,12.64
,,,,,,50,34.585,8.99,21.120,4.72,254.756,9.69
,,,,,,100,29.673,7.71,10.865,2.43,225.713,8.58
,,,,,,200,28.118,7.31,5.586,1.25,218.556,8.31
,,,,10,"[0, 2, 1, 2, 3, 2, 2, 2, 2, 3, 1]",5,162.894,42.33,194.694,43.54,1.107.653,42.11
,,,,,,10,87.044,22.62,100.016,22.37,595.528,22.64
,,,,,,25,40.056,10.41,41.106,9.19,278.535,10.59
,,,,,,50,25.398,6.6,21.120,4.72,181.260,6.89
,,,,,,100,18.558,4.82,10.865,2.43,136.792,5.2
,,,,,,200,15.804,4.11,5.586,1.25,120.042,4.56
,,,,15,"[0, 3, 2, 3, 4, 2, 3, 2, 3, 4, 2]",5,162.468,42.22,194.694,43.54,1.104.245,41.98
,,,,,,10,86.080,22.37,100.016,22.37,587.818,22.35
,,,,,,25,38.065,9.89,41.106,9.19,262.605,9.98
,,,,,,50,22.422,5.83,21.120,4.72,157.454,5.99
,,,,,,100,14.820,3.85,10.865,2.43,106.893,4.06
,,,,,,200,11.478,2.98,5.586,1.25,85.434,3.25
,,,,20,"[0, 4, 3, 4, 5, 3, 4, 3, 4, 5, 2]",5,162.259,42.17,194.694,43.54,1.102.573,41.92
,,,,,,10,85.561,22.24,100.016,22.37,583.666,22.19
,,,,,,25,37.108,9.64,41.106,9.19,254.955,9.69
,,,,,,50,21.005,5.46,21.120,4.72,146.118,5.55
,,,,,,100,13.053,3.39,10.865,2.43,92.755,3.53
,,,,,,200,9.336,2.43,5.586,1.25,68.298,2.6
,,,,30,"[0, 6, 4, 5, 8, 5, 7, 5, 6, 8, 3]",5,162.013,42.1,194.694,43.54,1.100.608,41.84
,,,,,,10,85.101,22.12,100.016,22.37,579.984,22.05
,,,,,,25,36.285,9.43,41.106,9.19,248.365,9.44
,,,,,,50,19.780,5.14,21.120,4.72,136.316,5.18
,,,,,,100,11.447,2.97,10.865,2.43,79.903,3.04
,,,,,,200,7.376,1.92,5.586,1.25,52.618,2.0
,vwc_333.smet.csv,26.088,CoderBasic,,,,381.638,100,443.496,100,2.608.800,100
,,,CoderPWLH,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,221.375,58.01,193.086,43.54,1.577.106,60.45
,,,,,,10,170.163,44.59,99.180,22.36,1.261.318,48.35
,,,,,,25,145.778,38.2,40.755,9.19,1.124.665,43.11
,,,,,,50,144.204,37.79,20.920,4.72,1.131.906,43.39
,,,,,,100,146.700,38.44,10.742,2.42,1.162.052,44.54
,,,,,,200,150.815,39.52,5.544,1.25,1.200.174,46.0
,,,,3,"[0, 2, 0, 0, 2, 1, 1, 0, 0, 2, 3]",5,186.890,48.97,193.086,43.54,1.301.225,49.88
