Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (b),Delta - CR (%),Other columns - Size (b),Other columns - CR (%)
,,,,10,"[0, 3, 2, 1, 1, 'N', 3, 2, 1, 'N', 'N']",5,162.966,42.35,447.185,100.0,855.734,32.53
,,,,,,10,118.785,30.87,447.185,100.0,502.292,19.09
,,,,,,25,91.518,23.78,447.185,100.0,284.150,10.8
,,,,,,50,83.479,21.69,447.185,100.0,219.842,8.36
,,,,,,100,79.836,20.75,447.185,100.0,190.697,7.25
,,,,,,200,78.356,20.36,447.185,100.0,178.860,6.8
,,,,15,"[0, 4, 3, 2, 2, 'N', 5, 3, 2, 'N', 'N']",5,157.889,41.03,447.185,100.0,815.119,30.99
,,,,,,10,111.189,28.89,447.185,100.0,441.524,16.78
,,,,,,25,81.203,21.1,447.185,100.0,201.635,7.67
,,,,,,50,71.434,18.56,447.185,100.0,123.480,4.69
,,,,,,100,66.687,17.33,447.185,100.0,85.508,3.25
,,,,,,200,64.521,16.77,447.185,100.0,68.178,2.59
,,,,20,"[0, 6, 4, 3, 3, 'N', 7, 3, 2, 'N', 'N']",5,157.709,40.98,447.185,100.0,813.680,30.93
,,,,,,10,110.789,28.79,447.185,100.0,438.320,16.66
,,,,,,25,80.388,20.89,447.185,100.0,195.115,7.42
,,,,,,50,70.260,18.26,447.185,100.0,114.092,4.34
,,,,,,100,65.192,16.94,447.185,100.0,73.543,2.8
,,,,,,200,62.781,16.31,447.185,100.0,54.256,2.06
,,,,30,"[0, 8, 6, 4, 4, 'N', 10, 5, 3, 'N', 'N']",5,157.577,40.95,447.185,100.0,812.628,30.89
,,,,,,10,110.501,28.72,447.185,100.0,436.020,16.58
,,,,,,25,79.789,20.73,447.185,100.0,190.320,7.24
,,,,,,50,69.443,18.05,447.185,100.0,107.556,4.09
,,,,,,100,64.127,16.66,447.185,100.0,65.028,2.47
,,,,,,200,61.516,15.99,447.185,100.0,44.138,1.68
,vwc_1204.dat.csv,26.305,CoderBasic,,,,384.811,100,447.185,100,2.630.500,100
,,,CoderPWLH,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'N']",5,435.611,113.2,447.185,100.0,3.036.900,115.45
,,,,,,10,327.408,85.08,447.185,100.0,2.171.276,82.54
,,,,,,25,269.583,70.06,447.185,100.0,1.708.676,64.96
,,,,,,50,254.474,66.13,447.185,100.0,1.587.800,60.36
,,,,,,100,248.498,64.58,447.185,100.0,1.539.992,58.54
,,,,,,200,246.779,64.13,447.185,100.0,1.526.240,58.02
,,,,1,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 'N']",5,403.090,104.75,447.185,100.0,2.776.733,105.56
,,,,,,10,280.743,72.96,447.185,100.0,1.797.952,68.35
,,,,,,25,212.074,55.11,447.185,100.0,1.248.603,47.47
,,,,,,50,193.422,50.26,447.185,100.0,1.099.382,41.79
,,,,,,100,185.681,48.25,447.185,100.0,1.037.455,39.44
,,,,,,200,182.855,47.52,447.185,100.0,1.014.848,38.58
,,,,3,"[0, 2, 0, 0, 1, 1, 2, 1, 0, 1, 'N']",5,389.336,101.18,447.185,100.0,2.666.698,101.38
,,,,,,10,260.699,67.75,447.185,100.0,1.637.600,62.25
,,,,,,25,186.558,48.48,447.185,100.0,1.044.476,39.71
,,,,,,50,164.714,42.8,447.185,100.0,869.720,33.06
,,,,,,100,154.987,40.28,447.185,100.0,791.902,30.1
,,,,,,200,151.066,39.26,447.185,100.0,760.536,28.91
,,,,5,"[0, 3, 1, 0, 2, 2, 4, 1, 1, 2, 'N']",5,367.836,95.59,447.185,100.0,2.494.694,94.84
,,,,,,10,229.906,59.75,447.185,100.0,1.391.256,52.89
,,,,,,25,148.258,38.53,447.185,100.0,738.076,28.06
,,,,,,50,122.931,31.95,447.185,100.0,535.454,20.36
,,,,,,100,111.421,28.95,447.185,100.0,443.378,16.86
,,,,,,200,106.404,27.65,447.185,100.0,403.240,15.33
,,,,10,"[0, 6, 2, 1, 3, 3, 7, 2, 2, 3, 'N']",5,356.790,92.72,447.185,100.0,2.406.330,91.48
,,,,,,10,213.523,55.49,447.185,100.0,1.260.196,47.91
,,,,,,25,126.780,32.95,447.185,100.0,566.251,21.53
,,,,,,50,98.678,25.64,447.185,100.0,341.434,12.98
,,,,,,100,85.241,22.15,447.185,100.0,233.939,8.89
,,,,,,200,79.090,20.55,447.185,100.0,184.728,7.02
,,,,15,"[0, 9, 2, 1, 5, 5, 11, 3, 2, 5, 'N']",5,356.455,92.63,447.185,100.0,2.403.650,91.38
,,,,,,10,212.964,55.34,447.185,100.0,1.255.720,47.74
,,,,,,25,125.940,32.73,447.185,100.0,559.531,21.27
,,,,,,50,97.621,25.37,447.185,100.0,332.976,12.66
,,,,,,100,83.871,21.8,447.185,100.0,222.980,8.48
,,,,,,200,77.570,20.16,447.185,100.0,172.568,6.56
,,,,20,"[0, 12, 3, 2, 6, 7, 14, 4, 3, 6, 'N']",5,355.981,92.51,447.185,100.0,2.399.860,91.23
,,,,,,10,211.791,55.04,447.185,100.0,1.246.336,47.38
,,,,,,25,123.806,32.17,447.185,100.0,542.456,20.62
,,,,,,50,94.825,24.64,447.185,100.0,310.608,11.81
,,,,,,100,80.667,20.96,447.185,100.0,197.349,7.5
,,,,,,200,73.906,19.21,447.185,100.0,143.256,5.45
,,,,30,"[0, 18, 5, 3, 9, 10, 21, 6, 5, 10, 'N']",5,355.579,92.4,447.185,100.0,2.396.641,91.11
