Dataset,Filename,Column,Coder,0,1,3,5,10,15,20,30,,0,1,3,5,10,15,20,30,,0,1,3,5,10,15,20,30
IRKIS
,Global
,,,CoderPWLHInt,4,4,4,4,8,16,16,32,,0.35,0.35,0.32,0.3,0.26,0.23,0.2,0.16,,2083896,2069868,1934468,1807298,1546049,1357216,1195044,979849
,,,CoderFR,4,4,4,4,4,8,8,8,,0.36,0.36,0.35,0.34,0.31,0.29,0.27,0.23,,2174252,2152986,2080872,2008576,1849984,1723664,1590794,1397144
,,,CoderSF,,,,,,,,,,2.86,2.69,2.43,2.21,1.83,1.56,1.36,1.08,,17042936,16015967,14464871,13153715,10906793,9309128,8123231,6448295
,,,CoderGAMPSLimit,4,4,4,8,8,16,16,32,,1.69,1.63,1.41,1.28,1.01,0.84,0.72,0.55,,10066490,9716492,8420780,7615332,6035070,5006294,4293858,3264767
,,SST
,,,CoderBase,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,5963256,5963256,5963256,5963256,5963256,5963256,5963256,5963256
,,,CoderPCA,256,256,4,4,4,4,4,4,,0.33,0.33,0.31,0.28,0.23,0.19,0.16,0.13,,1962351,1962351,1851888,1697412,1366392,1131996,960276,755868
,,,CoderAPCA,4,4,4,4,8,16,16,32,,0.37,0.31,0.25,0.21,0.14,0.11,0.08,0.05,,2193808,1846286,1466690,1228816,844986,635942,489558,323161
,,,CoderCA,4,4,4,4,8,8,16,16,,0.38,0.35,0.31,0.28,0.23,0.19,0.16,0.12,,2245678,2075746,1840056,1662102,1360131,1139196,967926,729526
,,,CoderPWLH,4,4,8,16,32,32,64,64,,0.88,0.79,0.65,0.54,0.38,0.28,0.21,0.14,,5254862,4681544,3854219,3235442,2247137,1672384,1275918,814160
,,,CoderPWLHInt,4,4,8,8,16,32,32,64,,0.35,0.34,0.29,0.24,0.17,0.13,0.1,0.06,,2087582,2038232,1736877,1460763,1025062,774977,596557,387594
,,,CoderFR,4,4,4,4,8,16,16,32,,0.37,0.35,0.32,0.29,0.24,0.2,0.17,0.12,,2183872,2078732,1902108,1756956,1422183,1187058,998114,732627
,,,CoderSF,,,,,,,,,,2.78,2.32,1.86,1.56,1.09,0.83,0.65,0.42,,16584486,13829304,11086119,9278829,6521712,4957329,3854766,2492526
,,,CoderGAMPSLimit,4,4,8,8,16,32,32,64,,1.72,1.44,1.13,0.92,0.6,0.44,0.33,0.2,,10235790,8603148,6763187,5490857,3601664,2604018,1943550,1211792
NOAA-SPC-hail
,noaa_spc-hail.csv
,,Lat
,,,CoderBase,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,204708,204708,204708,204708,204708,204708,204708,204708
,,,CoderPCA,256,256,4,4,4,4,4,4,,1.0,1.0,1.0,0.97,0.91,0.86,0.81,0.71,,204784,204784,203726,199082,186374,175286,165278,145874
,,,CoderAPCA,4,4,4,4,4,8,8,8,,1.15,1.02,0.9,0.83,0.71,0.65,0.57,0.47,,235027,208903,183899,169129,146351,132279,117684,95694
,,,CoderCA,4,4,4,4,4,4,4,4,,1.17,1.13,1.09,1.05,0.99,0.94,0.9,0.83,,238667,231653,222497,215483,202127,191781,183381,170543
,,,CoderPWLH,4,4,4,8,8,16,16,16,,2.75,2.63,2.5,2.37,2.13,1.96,1.79,1.54,,563231,537919,511655,485751,435242,400433,367449,314525
,,,CoderPWLHInt,4,4,4,4,8,8,8,16,,1.09,1.04,0.99,0.95,0.86,0.8,0.74,0.64,,222291,213827,202861,194653,176598,162888,151080,130441
,,,CoderFR,4,4,4,4,4,4,4,8,,1.12,1.1,1.07,1.05,1.0,0.96,0.92,0.84,,230053,225811,219497,214177,203845,195753,188473,172230
,,,CoderSF,,,,,,,,,,9.27,8.69,8.06,7.53,6.55,5.8,5.18,4.22,,1898276,1777919,1649435,1541204,1339835,1186712,1060808,864728
,,,CoderGAMPSLimit,4,4,4,8,8,16,16,32,,5.41,4.81,4.24,3.89,3.28,2.88,2.54,2.0,,1107952,984928,868108,796573,672087,589638,518986,410008
,,Long
,,,CoderBase,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,221767,221767,221767,221767,221767,221767,221767,221767
,,,CoderPCA,256,256,4,4,4,4,4,4,,1.0,1.0,0.99,0.96,0.87,0.8,0.73,0.64,,221843,221843,219294,211884,192384,176394,162471,142308
,,,CoderAPCA,4,4,4,4,4,8,8,16,,1.14,1.01,0.86,0.78,0.65,0.55,0.49,0.39,,253134,223899,190524,171879,144279,122825,108041,85910
,,,CoderCA,4,4,4,4,4,4,4,8,,1.15,1.11,1.05,1.01,0.94,0.88,0.84,0.75,,255819,247089,233769,224619,207834,195204,185319,167401
,,,CoderPWLH,4,4,8,8,8,16,16,32,,2.54,2.41,2.24,2.09,1.84,1.63,1.48,1.25,,563467,534711,496969,463584,407365,361933,327109,277470
,,,CoderPWLHInt,4,4,4,8,8,8,16,16,,1.08,1.03,0.96,0.91,0.8,0.72,0.65,0.56,,239441,228453,212621,201697,177271,159978,145087,123642
,,,CoderFR,4,4,4,4,4,4,8,8,,1.12,1.09,1.05,1.02,0.96,0.9,0.85,0.75,,247274,241994,233279,226244,211919,200654,187994,166746
,,,CoderSF,,,,,,,,,,8.51,7.94,7.19,6.57,5.53,4.73,4.12,3.28,,1887956,1760117,1595384,1456709,1225541,1048037,912716,726569
,,,CoderGAMPSLimit,4,4,4,8,8,16,16,32,,5.02,4.44,3.79,3.39,2.74,2.29,1.98,1.54,,1113760,985258,840058,751683,607432,508786,438950,340663
,,Size
,,,CoderBase,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,170590,170590,170590,170590,170590,170590,170590,170590
,,,CoderPCA,4,4,4,4,4,4,4,4,,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.87,,160471,160441,160441,160441,160411,160381,160381,148801
,,,CoderAPCA,4,4,4,4,4,4,4,8,,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.64,,137506,137470,137470,137458,137422,137374,137362,109779
,,,CoderCA,4,4,4,4,4,4,4,4,,1.07,1.07,1.06,1.06,1.05,1.04,1.02,0.99,,182470,181954,181318,180574,179110,176986,174814,169486
,,,CoderPWLH,8,8,8,8,8,8,8,8,,2.94,2.93,2.91,2.89,2.83,2.75,2.69,2.46,,502352,499814,496184,492406,482929,469176,458371,418889
,,,CoderPWLHInt,4,4,4,4,4,4,4,8,,1.0,1.0,0.99,0.99,0.97,0.94,0.93,0.85,,170416,170416,169598,168436,165714,161064,158236,145518
,,,CoderFR,4,4,4,4,4,4,4,4,,1.05,1.05,1.05,1.04,1.04,1.03,1.02,1.0,,179472,179004,178596,178200,177072,175788,174300,170460
,,,CoderSF,,,,,,,,,,9.95,9.29,9.21,9.1,8.89,8.63,8.43,7.42,,1696686,1584972,1571943,1552851,1517118,1472097,1437267,1265826
,,,CoderGAMPSLimit,8,8,8,8,8,8,8,16,,4.33,4.33,4.33,4.32,4.32,4.32,4.32,3.3,,738052,737851,737851,737784,737516,737248,737181,562203
NOAA-SPC-tornado
,noaa_spc-tornado.csv
,,Lat
,,,CoderBase,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,46092,46092,46092,46092,46092,46092,46092,46092
,,,CoderPCA,256,4,4,4,4,4,4,4,,1.0,1.0,0.94,0.89,0.8,0.74,0.7,0.62,,46115,45980,43280,41120,36836,34100,32048,28412
,,,CoderAPCA,4,4,4,4,8,8,16,16,,1.12,0.85,0.71,0.65,0.54,0.47,0.42,0.33,,51611,39375,32557,30037,24967,21562,19335,15431
,,,CoderCA,4,4,4,4,4,8,8,8,,1.16,1.04,0.94,0.89,0.81,0.76,0.71,0.64,,53627,47957,43379,40971,37541,34972,32632,29452
,,,CoderPWLH,4,8,8,16,16,16,32,32,,2.74,2.36,2.06,1.88,1.6,1.42,1.3,1.09,,126473,108839,94789,86823,73791,65267,59745,50021
,,,CoderPWLHInt,4,4,8,8,16,16,16,16,,1.08,0.95,0.84,0.77,0.66,0.58,0.54,0.46,,49873,44017,38737,35320,30607,26955,24759,21015
,,,CoderFR,4,4,4,4,8,8,8,16,,1.12,1.04,0.97,0.93,0.86,0.79,0.73,0.66,,51691,47841,44677,42955,39694,36184,33874,30211
,,,CoderSF,,,,,,,,,,9.17,7.47,6.35,5.7,4.78,4.06,3.61,2.89,,422514,344340,292611,262683,220113,187218,166578,133038
