Dataset,Filename,Column,Coder,0,1,3,5,10,15,20,30,,0,1,3,5,10,15,20,30,,0,1,3,5,10,15,20,30,WORST,,0,1,3,5,10,15,20,30
IRKIS
,Global
,,,CoderFR,4,4,4,4,4,4,4,4,,0.36,0.36,0.36,0.35,0.34,0.33,0.31,0.28,,13.50,13.50,11.56,10.55,19.43,27.74,33.93,42.12,42.12,,1626501,1626501,1590894,1572920,1518866,1454692,1390012,1270442
,,,CoderSF,,4,,,,,,,,3.6,3.6,3.26,3.12,2.76,2.43,2.17,1.75,,91.27,91.27,90.36,89.90,90.08,90.33,90.52,90.62,91.27,,16108897,16108897,14587600,13936408,12339517,10873174,9684181,7836772
,,,CoderGAMPSLimit,4,4,4,4,4,8,8,8,,2.19,2.19,1.96,1.86,1.61,1.38,1.18,0.89,,85.66,85.66,83.96,83.09,83.00,82.92,82.54,81.56,85.66,,9809734,9809734,8772412,8320444,7199764,6153710,5259662,3987198
,,M. Wind
,,,CoderBase,,256,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,68.54,68.54,68.54,68.54,70.84,74.14,76.67,80.85,80.85,,4472442,4472442,4472442,4472442,4472442,4472442,4472442,4472442
,,,CoderPCA,256,256,256,256,256,4,4,4,,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.28,,0.00,0.00,0.00,0.00,7.32,17.59,23.75,32.07,32.07,,1406909,1406909,1406909,1406909,1406909,1403273,1368605,1260929
,,,CoderAPCA,4,4,4,4,4,4,4,4,,0.37,0.37,0.34,0.33,0.29,0.26,0.23,0.19,,15.64,15.64,7.76,5.13,0.00,0.00,0.00,0.00,15.64,,1667713,1667713,1525318,1482946,1303987,1156389,1043595,856529
,,,CoderCA,4,4,4,4,4,4,4,4,,0.38,0.38,0.37,0.37,0.35,0.33,0.32,0.29,,17.12,17.12,14.66,13.90,16.43,22.34,26.88,34.27,34.27,,1697578,1697578,1648672,1634042,1560375,1489084,1427264,1303085
,,,CoderPWLH,4,4,4,4,4,8,8,8,,1.13,1.13,1.07,1.06,0.99,0.92,0.85,0.71,,72.05,72.05,70.70,70.28,70.44,71.78,72.44,73.03,73.03,,5033023,5033023,4802041,4733299,4411289,4097728,3786740,3175805
,,,CoderPWLHInt,4,4,4,4,4,4,4,8,,0.35,0.35,0.35,0.34,0.32,0.3,0.28,0.25,,9.00,9.00,9.00,8.32,9.27,13.92,17.64,21.85,21.85,,1546108,1546108,1546108,1534659,1437232,1343441,1267099,1095947
,,,CoderFR,4,4,4,4,4,4,4,4,,0.36,0.36,0.36,0.36,0.35,0.34,0.33,0.3,,13.61,13.61,12.15,11.65,15.88,23.08,28.50,37.18,37.18,,1628535,1628535,1601486,1592444,1550182,1503278,1459487,1363545
,,,CoderSF,,4,,,,,,,,3.6,3.6,3.35,3.27,2.96,2.69,2.48,2.09,,91.27,91.27,90.60,90.39,90.15,90.40,90.58,90.82,91.27,,16109132,16109132,14965031,14638403,13232561,12047180,11078648,9331730
,,,CoderGAMPSLimit,4,4,4,4,4,4,8,8,,2.2,2.2,2.01,1.96,1.72,1.52,1.36,1.08,,85.73,85.73,84.37,83.92,83.02,83.00,82.88,82.22,85.73,,9856769,9856769,9002465,8748497,7678769,6801893,6096134,4817774
,,Humidity
,,,CoderBase,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,76.90,76.90,76.90,76.90,79.49,81.86,83.99,87.06,87.06,,4969380,4969380,4969380,4969380,4969380,4969380,4969380,4969380
,,,CoderPCA,256,256,256,256,256,4,4,4,,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.2,,0.00,0.00,0.00,0.00,11.21,20.82,27.55,34.90,34.90,,1147888,1147888,1147888,1147888,1147888,1138467,1097967,987717
,,,CoderAPCA,4,4,4,4,4,4,4,4,,0.26,0.26,0.25,0.23,0.21,0.18,0.16,0.13,,12.48,12.13,9.00,1.35,0.00,0.00,0.00,0.00,12.13,,1311605,1306277,1261421,1163645,1019249,901433,795473,643001
,,,CoderCA,4,4,4,4,4,4,4,4,,0.27,0.27,0.27,0.26,0.25,0.24,0.22,0.2,,15.55,15.32,14.03,11.91,17.73,23.52,28.73,35.89,35.89,,1359329,1355573,1335257,1303157,1238981,1178669,1116173,1002989
,,,CoderPWLH,4,4,4,4,4,8,8,16,,0.74,0.74,0.72,0.69,0.64,0.59,0.53,0.43,,68.94,68.77,67.84,66.72,67.99,69.21,69.88,70.15,70.15,,3695801,3675477,3569839,3449225,3184467,2927746,2640878,2154061
,,,CoderPWLHInt,4,4,4,4,4,4,8,8,,0.25,0.25,0.25,0.24,0.22,0.21,0.19,0.16,,8.03,8.03,7.53,4.83,8.35,13.10,17.24,18.35,18.35,,1248103,1248103,1241331,1206137,1112107,1037369,961148,787552
,,,CoderFR,4,4,4,4,4,4,4,4,,0.26,0.26,0.26,0.26,0.25,0.24,0.23,0.21,,12.34,12.21,11.47,10.24,17.72,24.78,31.04,39.70,39.70,,1309405,1307485,1296589,1278805,1238737,1198417,1153513,1066261
,,,CoderSF,,,,,,,,,,2.41,2.39,2.28,2.17,1.93,1.75,1.57,1.28,,90.43,90.34,89.87,89.36,89.40,89.62,89.82,89.93,90.34,,11998531,11888494,11332762,10787866,9611902,8688004,7812868,6383806
,,,CoderGAMPSLimit,4,4,4,4,4,4,8,8,,1.43,1.42,1.37,1.27,1.11,0.98,0.85,0.65,,83.84,83.78,83.19,81.76,81.47,81.45,81.18,80.22,83.78,,7105379,7075943,6829433,6291731,5499335,4858211,4227409,3251353
,,AirTemp
,,,CoderBase,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,67.32,67.32,69.67,72.61,77.58,80.76,83.24,86.69,86.69,,5963256,5963256,5963256,5963256,5963256,5963256,5963256,5963256
,,,CoderPCA,256,256,256,4,4,4,4,4,,0.33,0.33,0.33,0.32,0.29,0.26,0.24,0.21,,0.00,0.00,7.20,14.24,22.22,25.69,29.38,35.61,35.61,,1948763,1948763,1948763,1904319,1719171,1543707,1415223,1232739
,,,CoderAPCA,4,4,4,4,4,8,8,16,,0.36,0.35,0.3,0.27,0.22,0.19,0.17,0.13,,9.73,6.51,0.00,0.00,0.00,0.00,0.00,0.00,6.51,,2158824,2084512,1808432,1633166,1337094,1147124,999389,793776
,,,CoderCA,4,4,4,4,4,4,4,8,,0.38,0.37,0.35,0.33,0.3,0.28,0.26,0.23,,13.07,11.53,13.37,17.69,25.04,30.21,35.27,40.93,40.93,,2241760,2202784,2087634,1984272,1783750,1643708,1543888,1343894
,,,CoderPWLH,4,4,4,8,16,16,32,32,,0.88,0.85,0.79,0.73,0.62,0.53,0.47,0.37,,62.84,61.51,61.55,62.39,63.57,63.66,64.10,64.49,64.49,,5243696,5063248,4702980,4341919,3670720,3156696,2783802,2235141
,,,CoderPWLHInt,4,4,4,4,8,16,16,32,,0.35,0.35,0.32,0.3,0.26,0.23,0.2,0.16,,6.48,5.85,6.52,9.63,13.52,15.48,16.37,18.99,18.99,,2083896,2069868,1934468,1807298,1546049,1357216,1195044,979849
,,,CoderFR,4,4,4,4,4,8,8,8,,0.36,0.36,0.35,0.34,0.31,0.29,0.27,0.23,,10.37,9.49,13.09,18.69,27.72,33.45,37.18,43.19,43.19,,2174252,2152986,2080872,2008576,1849984,1723664,1590794,1397144
